P:N1,P:N2,净利润,年化收益率%
39,37,0,0
39,38,0,0
39,39,0,0
39,40,-262615.75,-26.93
39,41,0,0
39,42,0,0
39,43,0,0
39,44,0,0
39,45,0,0
39,46,0,0
39,47,0,0
39,48,0,0
39,49,0,0
39,50,0,0
38,1,0,0
38,2,-2058905.55,-192.1
38,3,-2256404.25,-210.52
38,4,1822316.13,158.56
38,5,1822316.13,158.56
38,6,1822316.13,158.56
38,7,1718355.6,149.51
38,8,1997303.68,173.79
38,9,2037104.18,177.25
38,10,2037104.18,177.25
38,11,600751.43,52.27
38,12,600751.43,52.27
38,13,600751.43,52.27
38,14,600751.43,52.27
38,15,600751.43,52.27
38,16,600751.43,52.27
38,17,600751.43,52.27
38,18,600751.43,52.27
38,19,600751.43,52.27
38,20,1413218.85,122.96
38,21,1413218.85,122.96
38,22,1413218.85,122.96
38,23,1463043.75,127.3
38,24,1638900,142.6
38,25,1638900,142.6
38,26,1638900,142.6
38,27,1170730.18,101.87
38,28,1060497,92.27
38,29,1060497,92.27
38,30,1060497,92.27
38,31,1060497,92.27
38,32,1060497,92.27
38,33,1096515,95.41
38,34,0,0
38,35,0,0
38,36,0,0
38,37,0,0
38,38,0,0
38,39,-153884,-15.06
38,40,-262615.75,-26.93
38,41,0,0
38,42,0,0
38,43,0,0
38,44,0,0
38,45,0,0
38,46,0,0
38,47,0,0
38,48,0,0
38,49,0,0
38,50,0,0
37,1,0,0
37,2,337779.7,29.07
37,3,1033841.5,88.97
37,4,2891689.35,248.84
37,5,2891689.35,248.84
37,6,2891689.35,248.84
37,7,2891689.35,248.84
37,8,2787728.82,239.9
37,9,3095982.65,266.42
37,10,880587.65,75.78
37,11,991997.9,85.37
37,12,1670124.65,143.72
37,13,1670124.65,143.72
37,14,1670124.65,143.72
37,15,1670124.65,143.72
37,16,1670124.65,143.72
37,17,1670124.65,143.72
37,18,1670124.65,143.72
37,19,1670124.65,143.72
37,20,1670124.65,143.72
37,21,1670124.65,143.72
37,22,1670124.65,143.72
37,23,1719949.55,148.01
37,24,1895805.8,163.14
37,25,1895805.8,163.14
37,26,1895805.8,163.14
37,27,1434639.48,123.46
37,28,1199744,103.24
37,29,1199744,103.24
37,30,1199744,103.24
37,31,1199744,103.24
37,32,1199744,103.24
37,33,1096515,95.41
37,34,0,0
37,35,0,0
37,36,0,0
37,37,0,0
37,38,47371.4,4.52
37,39,-153884,-15.06
37,40,-262615.75,-26.93
37,41,0,0
37,42,0,0
37,43,0,0
37,44,0,0
37,45,0,0
37,46,0,0
37,47,0,0
37,48,0,0
37,49,0,0
37,50,0,0
36,1,0,0
36,2,337779.7,29.07
36,3,337779.7,29.07
