P:N1,P:N2,净利润,年化收益率%,夏普比率
15,25,688855.81,60.38,0.5003
15,26,688855.81,60.38,0.5003
15,27,528492.18,46.32,0.3785
15,28,704703.73,61.77,0.5474
15,29,1678544.49,142.15,1.3738
15,30,1276046.28,111.85,1.0872
15,31,1254498.06,110.39,1.0717
15,32,-80639.95,-7.24,-0.09
15,33,-431012.53,-40.12,-0.5367
15,34,-722816.4,-69.29,-0.9822
15,35,-983144.54,-94.85,-1.4937
15,36,-562026.85,-54.89,-1.1019
15,37,-562026.85,-54.89,-1.1019
15,38,-26976.65,-2.66,-0.0805
15,39,-81071.73,-8.05,-0.3178
15,40,-259096.95,-25.31,-2.0827
15,41,0,0,0
15,42,0,0,0
15,43,0,0,0
15,44,0,0,0
15,45,0,0,0
15,46,0,0,0
15,47,0,0,0
15,48,0,0,0
15,49,0,0,0
15,50,0,0,0
16,1,0,0,0
16,2,1041617.6,88.88,0.6901
16,3,435118.8,35.64,0.248
16,4,-12552.76,-1.07,-0.0495
16,5,586898.4,50.08,0.3444
16,6,-125598.97,-10.72,-0.1081
16,7,273688.21,23.35,0.1384
16,8,986185.58,84.15,0.606
16,9,990546.05,84.52,0.6243
16,10,504187.26,43.02,0.2909
16,11,1328785.25,113.38,0.8613
16,12,883843.55,75.42,0.5709
16,13,902105.23,76.98,0.5847
16,14,1845221.74,157.45,1.35
16,15,1828994.5,156.07,1.3852
16,16,0,0,0
16,17,665290.3,58.77,0.4624
16,18,-107848.28,-9.49,-0.184
16,19,14508.03,1.28,-0.0747
16,20,-117655.27,-10.35,-0.1909
16,21,667621.12,58.52,0.4237
16,22,-309280.24,-27.11,-0.328
16,23,-34654.71,-3.04,-0.1153
16,24,89644.44,7.89,-0.0139
16,25,648608.25,57.07,0.4686
16,26,648608.25,57.07,0.4686
16,27,488244.61,42.96,0.346
16,28,1594567.62,136.06,1.3001
16,29,131684.76,11.59,0.1554
16,30,150964.12,13.23,0.1768
16,31,131684.76,11.59,0.1554
16,32,-80639.95,-7.24,-0.09
16,33,-431012.53,-40.12,-0.5367
16,34,-538135.58,-51.59,-0.738
16,35,-801122.39,-78.24,-1.2327
16,36,-562026.85,-54.89,-1.1019
16,37,-562026.85,-54.89,-1.1019
16,38,-26976.65,-2.66,-0.0805
16,39,-81071.73,-8.05,-0.3178
16,40,-259096.95,-25.31,-2.0827
16,41,0,0,0
16,42,0,0,0
16,43,0,0,0
16,44,0,0,0
16,45,0,0,0
16,46,0,0,0
16,47,0,0,0
16,48,0,0,0
16,49,0,0,0
16,50,0,0,0
17,1,0,0,0
17,2,1838446.97,156.87,1.1915
17,3,442718.19,37.78,0.2381
17,4,305069.81,26.03,0.1401
17,5,391857.83,33.44,0.2216
17,6,391857.83,33.44,0.2216
17,7,436305.04,37.23,0.2514
17,8,791145.01,67.51,0.479
17,9,1014624.61,86.58,0.6394
17,10,1027581.09,87.68,0.651
17,11,983187.19,83.89,0.6316
17,12,784894.91,66.97,0.5035
17,13,2079640.58,177.45,1.5217
17,14,2139889.2,182.6,1.5654
17,15,2161323.25,184.42,1.6222
17,16,2004229.56,172.33,1.5104
17,17,0,0,0
17,18,-1401190.07,-124.76,-1.0739
17,19,253034.64,22.18,0.1039
17,20,388169.46,34.16,0.1969
17,21,971292.09,85.14,0.6557
17,22,185360.62,16.31,0.0696
17,23,-52841.09,-4.65,-0.1302
17,24,-429710.12,-37.81,-0.4258
17,25,-482129.01,-42.43,-0.4781
17,26,429831.52,36.68,0.4205
17,27,262499.3,22.83,0.2642
17,28,453603.4,38.71,0.4867
17,29,375284.82,32.27,0.4147
17,30,131684.76,11.59,0.1554
17,31,324341.6,28.54,0.373
17,32,110117.84,9.88,0.1311
17,33,-243673.03,-22.68,-0.3058
17,34,-538135.58,-51.59,-0.738
17,35,-801122.39,-78.24,-1.2327
17,36,-418176.68,-41.18,-0.8265
17,37,-418176.68,-41.18,-0.8265
17,38,-26976.65,-2.66,-0.0805
17,39,-81071.73,-8.05,-0.3178
17,40,-259096.95,-25.31,-2.0827
17,41,0,0,0
17,42,0,0,0
17,43,0,0,0
17,44,0,0,0
17,45,0,0,0
17,46,0,0,0
17,47,0,0,0
17,48,0,0,0
17,49,0,0,0
17,50,0,0,0
18,1,0,0,0
18,2,2374741.2,194.53,1.5314
18,3,1015049.01,86.61,0.6608
18,4,745900.77,63.65,0.4973
18,5,853207.96,72.8,0.6241
18,6,853207.96,72.8,0.6241
18,7,1095947.45,93.52,0.7844
18,8,1252495.14,106.87,0.9102
18,9,1475974.74,125.94,1.0952
18,10,860175.13,73.4,0.533
18,11,962920.43,82.17,0.6055
18,12,1910015.73,162.98,1.3966
18,13,1910015.73,162.98,1.3966
18,14,1812890.52,155.87,1.3289
18,15,1968376.38,169.24,1.4649
18,16,1635948.22,140.66,1.2501
18,17,1284033.03,110.4,1.0965
18,18,0,0,0
18,19,192672.74,17.02,0.1177
18,20,360756.63,31.75,0.1707
18,21,-428691.92,-37.58,-0.3813
18,22,899636.4,79.16,0.6405
18,23,-25508.43,-2.24,-0.0141
18,24,608239.56,51.13,0.5839
18,25,898882.85,73.63,0.8347
18,26,429831.52,36.68,0.4205
