P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
0.1,24,-3325299.63,-299.81,-3.109
0.1,25,-2915375.69,-262.86,-2.7747
0.1,26,-1647730.79,-148.56,-1.6301
0.1,27,-1647730.79,-148.56,-1.6301
0.1,28,-1986787.89,-179.13,-1.9642
0.1,29,-1587141.89,-143.1,-1.597
0.1,30,-1752469.05,-158.01,-1.7456
0.1,31,-1257092.24,-113.34,-1.2786
0.1,32,-820107.24,-73.94,-0.8325
0.1,33,-820107.24,-73.94,-0.8325
0.1,34,-820107.24,-73.94,-0.8325
0.1,35,-820107.24,-73.94,-0.8325
0.1,36,-1385683.91,-132.03,-1.4315
0.1,37,-1622079.66,-158.15,-1.6711
0.1,38,-1992300.5,-194.7,-2.0179
0.1,39,-622567.89,-61.6,-0.6096
0.1,40,183133.3,18.12,0.1785
0.1,41,-760344.38,-72.43,-0.8897
0.1,42,-558653.17,-53.59,-0.6688
0.1,43,257296.29,25.46,0.272
0.1,44,-1103448,-108.06,-1.3736
0.1,45,-1103448,-108.06,-1.3736
0.1,46,-1103448,-108.06,-1.3736
0.1,47,-1103448,-108.06,-1.3736
0.1,48,-2683637.65,-254.49,-3.4211
0.1,49,-2049049.96,-204.87,-2.7153
0.1,50,-2049049.96,-204.87,-2.7153
0.11,1,-18827839.35,-1751.75,-16.0198
0.11,2,-16750168.79,-1558.44,-12.5571
0.11,3,-15814615.09,-1471.4,-12.3668
0.11,4,-15649530.25,-1456.04,-12.6431
0.11,5,-12723830.73,-1183.83,-9.8934
0.11,6,-11598780.83,-1079.16,-9.023
0.11,7,-10207608.61,-949.72,-8.0598
0.11,8,-9664294.91,-899.17,-7.8395
0.11,9,-8013390.63,-745.57,-6.3457
0.11,10,-8013390.63,-745.57,-6.3457
0.11,11,-7648070.92,-711.58,-6.0965
0.11,12,-7648070.92,-711.58,-6.0965
0.11,13,-7234681.73,-673.12,-5.8942
0.11,14,-5234367.88,-471.94,-4.3713
0.11,15,-5234367.88,-471.94,-4.3713
0.11,16,-4472783.88,-403.27,-3.8499
0.11,17,-4472783.88,-403.27,-3.8499
0.11,18,-3870006.46,-348.93,-3.3869
0.11,19,-3326988.49,-299.97,-2.9784
0.11,20,-2996255.25,-270.15,-2.7262
0.11,21,-2737411.45,-246.81,-2.519
0.11,22,-2737411.45,-246.81,-2.519
0.11,23,-2342256.74,-211.18,-2.1852
0.11,24,-3325299.63,-299.81,-3.109
0.11,25,-2915375.69,-262.86,-2.7747
0.11,26,-1647730.79,-148.56,-1.6301
0.11,27,-1647730.79,-148.56,-1.6301
0.11,28,-1986787.89,-179.13,-1.9642
0.11,29,-4187091.26,-377.52,-3.6506
0.11,30,-4352418.42,-392.42,-3.7691
0.11,31,-3857041.61,-347.76,-3.3771
0.11,32,-3420056.61,-308.36,-3.0012
0.11,33,-3985633.29,-379.77,-3.56
0.11,34,-3985633.29,-379.77,-3.56
0.11,35,-3985633.29,-379.77,-3.56
0.11,36,-3985633.29,-379.77,-3.56
0.11,37,-4222029.04,-411.65,-3.7812
0.11,38,-4592249.88,-448.78,-4.0928
0.11,39,-3222517.26,-315.59,-2.9377
0.11,40,-2416816.08,-236.69,-2.3337
0.11,41,-3346750.52,-318.81,-3.198
0.11,42,-3145059.33,-301.69,-3.0392
0.11,43,-1103448,-108.06,-1.3736
0.11,44,-1103448,-108.06,-1.3736
0.11,45,-1103448,-108.06,-1.3736
0.11,46,-1103448,-108.06,-1.3736
0.11,47,-1103448,-108.06,-1.3736
0.11,48,-2683637.65,-254.49,-3.4211
0.11,49,-2049049.96,-204.87,-2.7153
0.11,50,-2049049.96,-204.87,-2.7153
0.12,1,-17316134.86,-1611.1,-12.6011
0.12,2,-16750168.79,-1558.44,-12.5571
0.12,3,-15814615.09,-1471.4,-12.3668
0.12,4,-14829660.86,-1379.76,-11.8124
0.12,5,-12650142.94,-1176.98,-9.815
0.12,6,-11414433.98,-1062,-8.7541
0.12,7,-9234446.27,-859.18,-7.3581
0.12,8,-8178446.17,-760.93,-6.4365
0.12,9,-8013390.63,-745.57,-6.3457
0.12,10,-8013390.63,-745.57,-6.3457
0.12,11,-7648070.92,-711.58,-6.0965
0.12,12,-6502005.96,-586.23,-5.1678
0.12,13,-6088616.76,-548.96,-4.9518
0.12,14,-5234367.88,-471.94,-4.3713
0.12,15,-5234367.88,-471.94,-4.3713
0.12,16,-4472783.88,-403.27,-3.8499
0.12,17,-4472783.88,-403.27,-3.8499
0.12,18,-3870006.46,-348.93,-3.3869
0.12,19,-3326988.49,-299.97,-2.9784
0.12,20,-2996255.25,-270.15,-2.7262
0.12,21,-2737411.45,-246.81,-2.519
0.12,22,-2737411.45,-246.81,-2.519
0.12,23,-2342256.74,-211.18,-2.1852
0.12,24,-3325299.63,-299.81,-3.109
0.12,25,-2915375.69,-262.86,-2.7747
0.12,26,-1647730.79,-148.56,-1.6301
0.12,27,-1701676.2,-153.43,-1.6843
0.12,28,-2040733.3,-184,-2.0197
0.12,29,-4227493.45,-381.16,-3.6987
0.12,30,-3897443.8,-351.4,-3.4231
