#,P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
320,0.51,48,0.00,0.00,0.0000
321,0.51,49,0.00,0.00,0.0000
322,0.51,50,0.00,0.00,0.0000
323,0.52,45,0.00,0.00,0.0000
324,0.52,46,0.00,0.00,0.0000
325,0.52,47,0.00,0.00,0.0000
326,0.52,48,0.00,0.00,0.0000
327,0.52,49,0.00,0.00,0.0000
328,0.52,50,0.00,0.00,0.0000
329,0.53,45,0.00,0.00,0.0000
330,0.53,46,0.00,0.00,0.0000
331,0.53,47,0.00,0.00,0.0000
332,0.53,48,0.00,0.00,0.0000
333,0.53,49,0.00,0.00,0.0000
334,0.53,50,0.00,0.00,0.0000
335,0.54,45,0.00,0.00,0.0000
336,0.54,46,0.00,0.00,0.0000
337,0.54,47,0.00,0.00,0.0000
338,0.54,48,0.00,0.00,0.0000
339,0.54,49,0.00,0.00,0.0000
340,0.54,50,0.00,0.00,0.0000
341,0.55,45,0.00,0.00,0.0000
342,0.55,46,0.00,0.00,0.0000
343,0.55,47,0.00,0.00,0.0000
344,0.55,48,0.00,0.00,0.0000
345,0.55,49,0.00,0.00,0.0000
346,0.55,50,0.00,0.00,0.0000
347,0.56,45,0.00,0.00,0.0000
348,0.56,46,0.00,0.00,0.0000
349,0.56,47,0.00,0.00,0.0000
350,0.56,48,0.00,0.00,0.0000
351,0.56,49,0.00,0.00,0.0000
352,0.56,50,0.00,0.00,0.0000
353,0.57,45,0.00,0.00,0.0000
354,0.57,46,0.00,0.00,0.0000
355,0.57,47,0.00,0.00,0.0000
356,0.57,48,0.00,0.00,0.0000
357,0.57,49,0.00,0.00,0.0000
358,0.57,50,0.00,0.00,0.0000
359,0.58,45,0.00,0.00,0.0000
360,0.58,46,0.00,0.00,0.0000
361,0.58,47,0.00,0.00,0.0000
362,0.58,48,0.00,0.00,0.0000
363,0.58,49,0.00,0.00,0.0000
364,0.58,50,0.00,0.00,0.0000
365,0.59,45,0.00,0.00,0.0000
366,0.59,46,0.00,0.00,0.0000
367,0.59,47,0.00,0.00,0.0000
368,0.59,48,0.00,0.00,0.0000
369,0.59,49,0.00,0.00,0.0000
370,0.59,50,0.00,0.00,0.0000
371,0.6,45,0.00,0.00,0.0000
372,0.6,46,0.00,0.00,0.0000
373,0.6,47,0.00,0.00,0.0000
374,0.6,48,0.00,0.00,0.0000
375,0.6,49,0.00,0.00,0.0000
376,0.6,50,0.00,0.00,0.0000
377,0.61,45,0.00,0.00,0.0000
378,0.61,46,0.00,0.00,0.0000
379,0.61,47,0.00,0.00,0.0000
380,0.61,48,0.00,0.00,0.0000
381,0.61,49,0.00,0.00,0.0000
382,0.61,50,0.00,0.00,0.0000
383,0.62,45,0.00,0.00,0.0000
384,0.62,46,0.00,0.00,0.0000
385,0.62,47,0.00,0.00,0.0000
386,0.62,48,0.00,0.00,0.0000
387,0.62,49,0.00,0.00,0.0000
388,0.62,50,0.00,0.00,0.0000
389,0.63,45,0.00,0.00,0.0000
390,0.63,46,0.00,0.00,0.0000
391,0.63,47,0.00,0.00,0.0000
392,0.63,48,0.00,0.00,0.0000
393,0.63,49,0.00,0.00,0.0000
394,0.63,50,0.00,0.00,0.0000
395,0.64,37,0.00,0.00,0.0000
396,0.64,38,0.00,0.00,0.0000
397,0.64,39,0.00,0.00,0.0000
398,0.64,40,0.00,0.00,0.0000
399,0.64,41,0.00,0.00,0.0000
400,0.64,42,0.00,0.00,0.0000
401,0.64,43,0.00,0.00,0.0000
402,0.64,44,0.00,0.00,0.0000
403,0.64,45,0.00,0.00,0.0000
404,0.64,46,0.00,0.00,0.0000
405,0.64,47,0.00,0.00,0.0000
406,0.64,48,0.00,0.00,0.0000
407,0.64,49,0.00,0.00,0.0000
408,0.64,50,0.00,0.00,0.0000
409,0.65,37,0.00,0.00,0.0000
410,0.65,38,0.00,0.00,0.0000
411,0.65,39,0.00,0.00,0.0000
412,0.65,40,0.00,0.00,0.0000
413,0.65,41,0.00,0.00,0.0000
414,0.65,42,0.00,0.00,0.0000
415,0.65,43,0.00,0.00,0.0000
416,0.65,44,0.00,0.00,0.0000
417,0.65,45,0.00,0.00,0.0000
418,0.65,46,0.00,0.00,0.0000
419,0.65,47,0.00,0.00,0.0000
420,0.65,48,0.00,0.00,0.0000
421,0.65,49,0.00,0.00,0.0000
422,0.65,50,0.00,0.00,0.0000
423,0.66,37,0.00,0.00,0.0000
424,0.66,38,0.00,0.00,0.0000
425,0.66,39,0.00,0.00,0.0000
426,0.66,40,0.00,0.00,0.0000
427,0.66,41,0.00,0.00,0.0000
428,0.66,42,0.00,0.00,0.0000
429,0.66,43,0.00,0.00,0.0000
430,0.66,44,0.00,0.00,0.0000
431,0.66,45,0.00,0.00,0.0000
432,0.66,46,0.00,0.00,0.0000
433,0.66,47,0.00,0.00,0.0000
434,0.66,48,0.00,0.00,0.0000
435,0.66,49,0.00,0.00,0.0000
436,0.66,50,0.00,0.00,0.0000
437,0.67,33,0.00,0.00,0.0000
438,0.67,34,0.00,0.00,0.0000
439,0.67,35,0.00,0.00,0.0000
440,0.67,36,0.00,0.00,0.0000
441,0.67,37,0.00,0.00,0.0000
442,0.67,38,0.00,0.00,0.0000
443,0.67,39,0.00,0.00,0.0000
444,0.67,40,0.00,0.00,0.0000
445,0.67,41,0.00,0.00,0.0000
446,0.67,42,0.00,0.00,0.0000
447,0.67,43,0.00,0.00,0.0000
448,0.67,44,0.00,0.00,0.0000
449,0.67,45,0.00,0.00,0.0000
450,0.67,46,0.00,0.00,0.0000
451,0.67,47,0.00,0.00,0.0000
452,0.67,48,0.00,0.00,0.0000
453,0.67,49,0.00,0.00,0.0000
454,0.67,50,0.00,0.00,0.0000
455,0.68,33,0.00,0.00,0.0000
456,0.68,34,0.00,0.00,0.0000
457,0.68,35,0.00,0.00,0.0000
458,0.68,36,0.00,0.00,0.0000
459,0.68,37,0.00,0.00,0.0000
460,0.68,38,0.00,0.00,0.0000
461,0.68,39,0.00,0.00,0.0000
462,0.68,40,0.00,0.00,0.0000
463,0.68,41,0.00,0.00,0.0000
464,0.68,42,0.00,0.00,0.0000
465,0.68,43,0.00,0.00,0.0000
466,0.68,44,0.00,0.00,0.0000
467,0.68,45,0.00,0.00,0.0000
468,0.68,46,0.00,0.00,0.0000
469,0.68,47,0.00,0.00,0.0000
470,0.68,48,0.00,0.00,0.0000
471,0.68,49,0.00,0.00,0.0000
472,0.68,50,0.00,0.00,0.0000
473,0.69,33,0.00,0.00,0.0000
474,0.69,34,0.00,0.00,0.0000
475,0.69,35,0.00,0.00,0.0000
476,0.69,36,0.00,0.00,0.0000
477,0.69,37,0.00,0.00,0.0000
478,0.69,38,0.00,0.00,0.0000
479,0.69,39,0.00,0.00,0.0000
480,0.69,40,0.00,0.00,0.0000
481,0.69,41,0.00,0.00,0.0000
482,0.69,42,0.00,0.00,0.0000
483,0.69,43,0.00,0.00,0.0000
484,0.69,44,0.00,0.00,0.0000
485,0.69,45,0.00,0.00,0.0000
486,0.69,46,0.00,0.00,0.0000
487,0.69,47,0.00,0.00,0.0000
488,0.69,48,0.00,0.00,0.0000
489,0.69,49,0.00,0.00,0.0000
490,0.69,50,0.00,0.00,0.0000
491,0.7,33,0.00,0.00,0.0000
492,0.7,34,0.00,0.00,0.0000
493,0.7,35,0.00,0.00,0.0000
494,0.7,36,0.00,0.00,0.0000
495,0.7,37,0.00,0.00,0.0000
496,0.7,38,0.00,0.00,0.0000
497,0.7,39,0.00,0.00,0.0000
498,0.7,40,0.00,0.00,0.0000
499,0.7,41,0.00,0.00,0.0000
500,0.7,42,0.00,0.00,0.0000
501,0.7,43,0.00,0.00,0.0000
502,0.7,44,0.00,0.00,0.0000
503,0.7,45,0.00,0.00,0.0000
504,0.7,46,0.00,0.00,0.0000
505,0.7,47,0.00,0.00,0.0000
506,0.7,48,0.00,0.00,0.0000
507,0.7,49,0.00,0.00,0.0000
508,0.7,50,0.00,0.00,0.0000
509,0.71,32,0.00,0.00,0.0000
510,0.71,33,0.00,0.00,0.0000
511,0.71,34,0.00,0.00,0.0000
512,0.71,35,0.00,0.00,0.0000
513,0.71,36,0.00,0.00,0.0000
514,0.71,37,0.00,0.00,0.0000
515,0.71,38,0.00,0.00,0.0000
516,0.71,39,0.00,0.00,0.0000
517,0.71,40,0.00,0.00,0.0000
518,0.71,41,0.00,0.00,0.0000
519,0.71,42,0.00,0.00,0.0000
520,0.71,43,0.00,0.00,0.0000
521,0.71,44,0.00,0.00,0.0000
522,0.71,45,0.00,0.00,0.0000
523,0.71,46,0.00,0.00,0.0000
524,0.71,47,0.00,0.00,0.0000
525,0.71,48,0.00,0.00,0.0000
526,0.71,49,0.00,0.00,0.0000
527,0.71,50,0.00,0.00,0.0000
528,0.72,32,0.00,0.00,0.0000
529,0.72,33,0.00,0.00,0.0000
530,0.72,34,0.00,0.00,0.0000
531,0.72,35,0.00,0.00,0.0000
532,0.72,36,0.00,0.00,0.0000
533,0.72,37,0.00,0.00,0.0000
534,0.72,38,0.00,0.00,0.0000
535,0.72,39,0.00,0.00,0.0000
536,0.72,40,0.00,0.00,0.0000
537,0.72,41,0.00,0.00,0.0000
538,0.72,42,0.00,0.00,0.0000
539,0.72,43,0.00,0.00,0.0000
540,0.72,44,0.00,0.00,0.0000
541,0.72,45,0.00,0.00,0.0000
542,0.72,46,0.00,0.00,0.0000
543,0.72,47,0.00,0.00,0.0000
544,0.72,48,0.00,0.00,0.0000
545,0.72,49,0.00,0.00,0.0000
546,0.72,50,0.00,0.00,0.0000
547,0.73,32,0.00,0.00,0.0000
548,0.73,33,0.00,0.00,0.0000
549,0.73,34,0.00,0.00,0.0000
550,0.73,35,0.00,0.00,0.0000
551,0.73,36,0.00,0.00,0.0000
552,0.73,37,0.00,0.00,0.0000
553,0.73,38,0.00,0.00,0.0000
554,0.73,39,0.00,0.00,0.0000
555,0.73,40,0.00,0.00,0.0000
556,0.73,41,0.00,0.00,0.0000
557,0.73,42,0.00,0.00,0.0000
558,0.73,43,0.00,0.00,0.0000
559,0.73,44,0.00,0.00,0.0000
560,0.73,45,0.00,0.00,0.0000
561,0.73,46,0.00,0.00,0.0000
562,0.73,47,0.00,0.00,0.0000
563,0.73,48,0.00,0.00,0.0000
564,0.73,49,0.00,0.00,0.0000
565,0.73,50,0.00,0.00,0.0000
566,0.74,32,0.00,0.00,0.0000
567,0.74,33,0.00,0.00,0.0000
568,0.74,34,0.00,0.00,0.0000
569,0.74,35,0.00,0.00,0.0000
570,0.74,36,0.00,0.00,0.0000
571,0.74,37,0.00,0.00,0.0000
572,0.74,38,0.00,0.00,0.0000
573,0.74,39,0.00,0.00,0.0000
574,0.74,40,0.00,0.00,0.0000
575,0.74,41,0.00,0.00,0.0000
576,0.74,42,0.00,0.00,0.0000
577,0.74,43,0.00,0.00,0.0000
578,0.74,44,0.00,0.00,0.0000
579,0.74,45,0.00,0.00,0.0000
580,0.74,46,0.00,0.00,0.0000
581,0.74,47,0.00,0.00,0.0000
582,0.74,48,0.00,0.00,0.0000
583,0.74,49,0.00,0.00,0.0000
584,0.74,50,0.00,0.00,0.0000
585,0.75,32,0.00,0.00,0.0000
586,0.75,33,0.00,0.00,0.0000
587,0.75,34,0.00,0.00,0.0000
588,0.75,35,0.00,0.00,0.0000
589,0.75,36,0.00,0.00,0.0000
590,0.75,37,0.00,0.00,0.0000
591,0.75,38,0.00,0.00,0.0000
592,0.75,39,0.00,0.00,0.0000
593,0.75,40,0.00,0.00,0.0000
594,0.75,41,0.00,0.00,0.0000
595,0.75,42,0.00,0.00,0.0000
596,0.75,43,0.00,0.00,0.0000
597,0.75,44,0.00,0.00,0.0000
598,0.75,45,0.00,0.00,0.0000
599,0.75,46,0.00,0.00,0.0000
600,0.75,47,0.00,0.00,0.0000
601,0.75,48,0.00,0.00,0.0000
602,0.75,49,0.00,0.00,0.0000
603,0.75,50,0.00,0.00,0.0000
604,0.76,32,0.00,0.00,0.0000
605,0.76,33,0.00,0.00,0.0000
606,0.76,34,0.00,0.00,0.0000
607,0.76,35,0.00,0.00,0.0000
608,0.76,36,0.00,0.00,0.0000
609,0.76,37,0.00,0.00,0.0000
610,0.76,38,0.00,0.00,0.0000
611,0.76,39,0.00,0.00,0.0000
612,0.76,40,0.00,0.00,0.0000
613,0.76,41,0.00,0.00,0.0000
614,0.76,42,0.00,0.00,0.0000
615,0.76,43,0.00,0.00,0.0000
616,0.76,44,0.00,0.00,0.0000
617,0.76,45,0.00,0.00,0.0000
618,0.76,46,0.00,0.00,0.0000
619,0.76,47,0.00,0.00,0.0000
620,0.76,48,0.00,0.00,0.0000
621,0.76,49,0.00,0.00,0.0000
622,0.76,50,0.00,0.00,0.0000
623,0.77,32,0.00,0.00,0.0000
624,0.77,33,0.00,0.00,0.0000
625,0.77,34,0.00,0.00,0.0000
626,0.77,35,0.00,0.00,0.0000
627,0.77,36,0.00,0.00,0.0000
628,0.77,37,0.00,0.00,0.0000
629,0.77,38,0.00,0.00,0.0000
630,0.77,39,0.00,0.00,0.0000
631,0.77,40,0.00,0.00,0.0000
632,0.77,41,0.00,0.00,0.0000
633,0.77,42,0.00,0.00,0.0000
634,0.77,43,0.00,0.00,0.0000
635,0.77,44,0.00,0.00,0.0000
636,0.77,45,0.00,0.00,0.0000
637,0.77,46,0.00,0.00,0.0000
638,0.77,47,0.00,0.00,0.0000
639,0.77,48,0.00,0.00,0.0000
