P:N1,P:N2,净利润,年化收益率%,夏普比率
8,49,0,0,0
8,50,0,0,0
9,1,0,0,0
9,2,-6375788.36,-534.21,-3.5233
9,3,-5394269.74,-454.52,-3.0249
9,4,-3451160.51,-290.79,-1.8659
9,5,-2188877.69,-184.43,-1.2022
9,6,-1465965.65,-123.52,-0.7821
9,7,-1323656.8,-111.53,-0.6984
9,8,-1812208.25,-152.7,-1.0145
9,9,0,0,0
9,10,-4978770.63,-427.93,-2.6632
9,11,-2181529.83,-187.5,-1.1361
9,12,-2212680.16,-190.18,-1.1811
9,13,-2801101.54,-240.76,-1.5354
9,14,-3423957.84,-294.29,-1.9472
9,15,-3444178.82,-296.03,-1.9512
9,16,-2129676.06,-183.05,-1.2215
9,17,-2317288.64,-199.17,-1.4105
9,18,-2823814.04,-242.71,-1.7387
9,19,-2369132.16,-202.81,-1.4697
9,20,-1213842.56,-103.91,-0.7494
9,21,-1453116.19,-124.4,-0.9444
9,22,-1250697.56,-107.07,-0.8301
9,23,-1085848.75,-95.63,-0.7886
9,24,-940121.9,-82.8,-0.694
9,25,-1242178.89,-109.4,-0.9872
9,26,-1450776.77,-127.77,-1.1615
9,27,-826966.68,-71.65,-0.6096
9,28,-1667703.19,-155.86,-1.4802
9,29,-2148241.71,-201.97,-2.1085
9,30,-2317680.58,-217.9,-2.5408
9,31,-1613662.05,-151.71,-1.95
9,32,-1689564.93,-157.49,-2.0095
9,33,-1187708.54,-111.53,-1.8698
9,34,-1077457.83,-101.18,-1.7739
9,35,-1440182.41,-135.24,-2.4164
9,36,-682968.04,-64.13,-1.411
9,37,-478836.36,-45.76,-1.0595
9,38,-639918.63,-60.35,-1.7003
9,39,-802521.07,-74.39,-2.1795
9,40,-31654.88,0,-1.2256
9,41,0,0,0
9,42,0,0,0
9,43,0,0,0
9,44,0,0,0
9,45,0,0,0
9,46,0,0,0
9,47,0,0,0
9,48,0,0,0
9,49,0,0,0
9,50,0,0,0
10,1,0,0,0
10,2,-5909383.2,-497.92,-3.2049
10,3,-3759002.04,-316.73,-2.1188
10,4,-3236430.59,-272.7,-1.8057
10,5,-2689611.83,-226.62,-1.486
10,6,-2736300.94,-230.56,-1.5366
10,7,-1392489.38,-117.33,-0.7471
10,8,-2294738.49,-193.35,-1.267
10,9,183072.11,15.43,0.2264
10,10,0,0,0
10,11,-967199.23,-83.13,-0.4664
10,12,-1709862.2,-146.96,-0.9039
10,13,-1177887.08,-101.24,-0.6068
10,14,-1629789.37,-140.08,-0.8895
10,15,-1208234.06,-103.85,-0.663
10,16,-1693350.35,-145.55,-0.9589
10,17,-1511655.23,-129.93,-0.8971
10,18,-2181733.36,-186.77,-1.3192
10,19,-1466910.2,-125.58,-0.8984
10,20,-722182.82,-61.82,-0.4154
10,21,-129369.83,-11.07,-0.0074
10,22,-625420.61,-55.08,-0.4254
10,23,-651934.38,-57.42,-0.4473
10,24,-919663.11,-81,-0.6798
10,25,-871607.38,-76.77,-0.6575
10,26,-1141894.93,-98.94,-0.8683
10,27,-782344.38,-67.79,-0.5736
10,28,-1734920.36,-162.14,-1.5238
10,29,-1773922.15,-166.51,-1.6525
10,30,-2228679.67,-209.53,-2.4402
10,31,-1600163.83,-149.16,-1.9025
10,32,-1600163.83,-149.16,-1.9025
10,33,-1114125.84,-104.62,-1.7661
10,34,-1092014.79,-102.55,-1.815
10,35,-1092014.79,-102.55,-1.815
10,36,-651313.16,-61.16,-1.3573
10,37,-447181.49,-42.73,-0.999
10,38,-608263.75,-57.37,-1.6366
10,39,-770866.2,-71.46,-2.1206
10,40,0,0,0
10,41,0,0,0
10,42,0,0,0
10,43,0,0,0
10,44,0,0,0
10,45,0,0,0
10,46,0,0,0
10,47,0,0,0
10,48,0,0,0
10,49,0,0,0
10,50,0,0,0
11,1,0,0,0
11,2,-1843826.85,-155.36,-1.0302
11,3,-1933198.54,-162.89,-1.0872
11,4,-1290495.66,-114.13,-0.6836
11,5,-1898603.65,-159.97,-1.1231
11,6,-823427.1,-69.38,-0.4589
11,7,-823427.1,-69.38,-0.4589
11,8,-1267101,-106.76,-0.7517
11,9,1201014.45,102,0.7713
11,10,-192531.54,-16.55,-0.0523
11,11,0,0,0
11,12,-1364131.42,-117.25,-0.7011
11,13,-1710976.05,-147.06,-0.9133
11,14,-1888328.6,-162.3,-1.0432
11,15,-1199947.96,-103.14,-0.6551
11,16,-1215282.15,-104.45,-0.6717
11,17,-1164142.34,-99.66,-0.6633
11,18,-1273494.02,-109.02,-0.7435
11,19,-566564.72,-48.5,-0.3125
11,20,394696.51,33.79,0.3428
11,21,196871.26,16.85,0.2179
