P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
1.48,2,1319307.67,58.78,0.3735
1.49,2,1319307.67,58.78,0.3735
1.5,2,1319307.67,58.78,0.3735
0.36,20,1337203.9,58.28,1.3601
0.37,20,1337203.9,58.28,1.3601
0.38,20,1337203.9,58.28,1.3601
0.39,20,1337203.9,58.28,1.3601
0.4,20,1337203.9,58.28,1.3601
0.41,20,1337203.9,58.28,1.3601
0.42,20,1337203.9,58.28,1.3601
0.48,13,1337203.9,58.28,1.3601
0.48,14,1337203.9,58.28,1.3601
0.48,15,1337203.9,58.28,1.3601
0.48,16,1337203.9,58.28,1.3601
0.49,13,1337203.9,58.28,1.3601
0.49,14,1337203.9,58.28,1.3601
0.49,15,1337203.9,58.28,1.3601
0.49,16,1337203.9,58.28,1.3601
0.5,13,1337203.9,58.28,1.3601
0.5,14,1337203.9,58.28,1.3601
0.5,15,1337203.9,58.28,1.3601
0.5,16,1337203.9,58.28,1.3601
0.51,13,1337203.9,58.28,1.3601
0.51,14,1337203.9,58.28,1.3601
0.51,15,1337203.9,58.28,1.3601
0.51,16,1337203.9,58.28,1.3601
0.52,13,1337203.9,58.28,1.3601
0.52,14,1337203.9,58.28,1.3601
0.52,15,1337203.9,58.28,1.3601
0.52,16,1337203.9,58.28,1.3601
0.53,13,1337203.9,58.28,1.3601
0.53,14,1337203.9,58.28,1.3601
0.53,15,1337203.9,58.28,1.3601
0.53,16,1337203.9,58.28,1.3601
0.54,12,1337203.9,58.28,1.3601
0.54,13,1337203.9,58.28,1.3601
0.54,14,1337203.9,58.28,1.3601
0.54,15,1337203.9,58.28,1.3601
0.54,16,1337203.9,58.28,1.3601
1.67,2,1248157.65,56.76,0.5402
1.68,2,1248157.65,56.76,0.5402
1.69,2,1248157.65,56.76,0.5402
1.7,2,1248157.65,56.76,0.5402
1.71,2,1248157.65,56.76,0.5402
1.72,2,1248157.65,56.76,0.5402
1.73,2,1248157.65,56.76,0.5402
1.74,2,1248157.65,56.76,0.5402
1.75,2,1248157.65,56.76,0.5402
1.76,2,1248157.65,56.76,0.5402
1.77,2,1248157.65,56.76,0.5402
1.78,2,1248157.65,56.76,0.5402
1.79,2,1248157.65,56.76,0.5402
1.8,2,1248157.65,56.76,0.5402
1.81,2,1248157.65,56.76,0.5402
1.82,2,1248157.65,56.76,0.5402
0.27,12,1386155.95,56.69,0.862
0.38,7,1298081.33,56.62,0.1469
0.53,7,1244113.65,56.41,0.5199
0.54,7,1244113.65,56.41,0.5199
0.55,7,1244113.65,56.41,0.5199
0.38,5,1288330.88,56.2,0.6182
0.34,10,1340093.42,54.81,0.8113
0.48,7,1186668.28,53.96,0.4282
0.49,7,1186668.28,53.96,0.4282
0.51,6,1186668.28,53.96,0.4282
0.52,6,1186668.28,53.96,0.4282
0.78,5,1184963.65,53.88,0.6456
0.79,5,1184963.65,53.88,0.6456
0.8,5,1184963.65,53.88,0.6456
0.81,5,1184963.65,53.88,0.6456
0.82,5,1184963.65,53.88,0.6456
0.32,13,1140758.15,50.76,0.5633
0.33,13,1140758.15,50.76,0.5633
0.34,13,1140758.15,50.76,0.5633
0.58,3,1130431,49.31,0.2215
0.59,3,1130431,49.31,0.2215
0.6,3,1130431,49.31,0.2215
0.61,3,1130431,49.31,0.2215
0.25,46,1069114.4,48.62,1.4861
