#,P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
13726,0.14,50,-20371807.08,-140.38,-2.3689
13727,0.2,22,-20426066.40,-124.10,-2.2849
13728,1.44,1,-20449592.50,-124.24,-2.0525
13729,0.18,27,-20454174.03,-140.95,-2.1810
13730,0.17,44,-20458639.10,-136.80,-2.8118
13731,0.19,33,-20477931.28,-141.11,-2.5433
13732,0.17,29,-20489442.77,-137.00,-2.3454
13733,0.18,31,-20577637.50,-141.80,-2.4704
13734,0.18,28,-20688418.45,-142.56,-2.3166
13735,0.15,44,-20745747.55,-142.63,-2.6271
13736,0.31,8,-20903484.90,-139.77,-2.4110
13737,0.25,12,-20923240.65,-127.12,-2.2525
13738,0.16,45,-20926400.38,-139.92,-2.7985
13739,0.83,2,-20974496.25,-140.25,-2.1599
13740,0.18,32,-20974767.28,-144.54,-2.4890
13741,1.47,1,-20991059.13,-127.53,-2.2365
13742,0.16,48,-21019875.67,-154.19,-2.9658
13743,0.16,49,-21019875.67,-154.19,-2.9658
13744,0.17,31,-21025806.95,-140.59,-2.5633
13745,0.11,50,-21081028.47,-140.96,-2.1407
13746,0.13,46,-21103331.62,-138.15,-2.4746
13747,0.39,6,-21116080.28,-141.19,-2.5345
13748,0.41,6,-21236053.77,-129.02,-2.4535
13749,0.15,37,-21385838.48,-131.20,-2.2409
13750,0.28,10,-21506319.20,-130.66,-2.2708
13751,0.92,2,-21510617.52,-130.69,-2.2147
13752,0.14,42,-21539094.05,-144.02,-2.3916
13753,0.14,40,-21563307.60,-144.18,-2.3126
13754,0.19,32,-21596013.20,-148.82,-2.6660
13755,0.27,11,-21725398.80,-131.99,-2.2563
13756,0.64,4,-21821597.82,-132.58,-1.9131
13757,0.15,50,-21893252.70,-160.59,-2.7770
13758,0.13,45,-21901227.07,-143.37,-2.4483
13759,0.91,2,-21905362.27,-133.09,-2.2307
13760,1.43,1,-21996980.63,-133.64,-2.1403
13761,0.84,2,-22024700.35,-147.27,-2.2775
13762,0.33,7,-22030043.80,-147.30,-2.2866
13763,0.4,6,-22065830.63,-134.06,-2.4752
13764,0.21,18,-22157813.00,-134.62,-2.5401
13765,0.14,45,-22158771.95,-148.16,-2.4959
13766,0.15,46,-22181594.70,-152.85,-2.7704
13767,0.19,28,-22197209.67,-152.96,-2.5166
13768,1.53,1,-22210208.25,-134.94,-2.2513
13769,0.93,2,-22215910.63,-134.97,-2.2617
13770,1.45,1,-22346602.00,-135.77,-2.2527
13771,0.18,29,-22365747.40,-154.12,-2.6283
13772,1.46,1,-22371599.58,-135.92,-2.2568
13773,0.3,9,-22470060.40,-136.52,-2.5008
13774,0.21,20,-22580696.28,-137.19,-2.4672
13775,0.27,10,-22596238.27,-137.29,-2.2856
13776,0.16,35,-22602898.73,-151.13,-2.5403
13777,0.17,46,-22636756.40,-166.05,-3.0081
13778,0.14,39,-22639535.45,-151.38,-2.3877
13779,0.2,21,-22674487.87,-137.76,-2.4010
13780,0.19,31,-22689868.48,-156.36,-2.7875
13781,0.15,49,-22876616.55,-167.81,-2.8909
13782,0.17,33,-22938206.60,-153.38,-2.8387
13783,0.18,34,-22942699.18,-158.10,-2.9331
13784,1.48,1,-22981147.78,-139.62,-2.3931
13785,0.44,5,-22987706.83,-153.85,-2.0343
13786,0.19,23,-22995553.53,-158.46,-2.5655
13787,0.43,5,-23098482.25,-154.60,-2.0405
13788,0.19,19,-23126344.67,-154.78,-2.5067
13789,0.28,9,-23142473.75,-140.60,-2.3665
13790,0.32,7,-23169965.50,-154.93,-2.3695
13791,0.82,2,-23194855.00,-155.09,-2.3621
13792,0.14,43,-23317058.97,-155.91,-2.5772
13793,0.12,47,-23339004.65,-152.79,-2.5752
13794,0.25,11,-23380262.80,-142.05,-2.3286
13795,0.17,23,-23415049.12,-156.56,-2.6422
13796,0.17,34,-23472434.80,-156.95,-3.0565
13797,0.13,41,-23472846.10,-153.66,-2.4563
13798,0.14,44,-23489098.87,-157.06,-2.5788
13799,0.13,42,-23526354.20,-154.01,-2.4776
13800,0.26,11,-23529930.90,-142.96,-2.3110
13801,0.13,44,-23538441.35,-154.09,-2.5467
13802,0.29,9,-23617154.98,-143.49,-2.4744
13803,1.49,1,-23661621.13,-143.76,-2.4057
13804,1.5,1,-23661621.13,-143.76,-2.4057
13805,0.18,20,-23661654.37,-158.36,-2.5454
13806,0.38,6,-23708771.23,-158.53,-2.7240
13807,0.17,27,-23715958.52,-158.58,-2.4374
13808,0.22,17,-23738220.22,-158.88,-2.4650
13809,0.19,27,-23822617.45,-164.16,-2.5171
13810,0.18,26,-23865487.63,-164.46,-2.5069
13811,0.17,26,-23908582.90,-159.86,-2.6644
13812,1.52,1,-23957241.48,-145.55,-2.3985
13813,0.15,47,-23965360.50,-175.79,-2.9675
13814,0.15,48,-23965360.50,-175.79,-2.9675
13815,0.24,12,-24056764.32,-146.16,-2.4027
13816,0.21,17,-24114033.07,-146.51,-2.5978
13817,0.19,20,-24300900.55,-162.64,-2.4411
13818,0.14,38,-24328357.22,-162.67,-2.4290
13819,0.2,17,-24329800.42,-147.82,-2.4193
13820,0.18,33,-24466034.80,-168.59,-2.9784
13821,0.13,40,-24499347.32,-160.38,-2.5418
13822,1.51,1,-24511672.78,-148.92,-2.4423
13823,0.22,19,-24541606.82,-173.01,-2.5484
13824,0.16,47,-24548241.57,-180.07,-3.2211
13825,0.19,25,-24558651.08,-169.23,-2.5365
13826,0.2,19,-24575129.32,-149.31,-2.5998
13827,0.17,22,-24584023.85,-164.38,-2.6634
13828,0.6,3,-24694094.28,-165.12,-2.4646
13829,0.22,20,-24698870.82,-174.12,-2.6218
13830,0.26,10,-24730515.25,-150.25,-2.4245
13831,0.16,46,-24818351.45,-182.05,-3.2445
13832,0.22,18,-24835204.92,-175.08,-2.5536
13833,0.35,6,-24910078.33,-166.56,-2.6288
13834,0.45,4,-25010471.58,-167.23,-2.1971
13835,1.4,1,-25062577.50,-152.27,-2.2524
13836,0.2,20,-25067377.10,-152.30,-2.6006
13837,0.17,24,-25496475.55,-170.48,-2.7606
13838,0.19,26,-25559595.55,-176.13,-2.6768
13839,1.39,1,-25577058.78,-155.40,-2.3015
13840,0.8,2,-25600917.85,-171.18,-2.4468
13841,0.81,2,-25600917.85,-171.18,-2.4468
13842,0.13,43,-25699063.88,-168.24,-2.6616
13843,0.19,22,-25709746.87,-172.07,-2.6754
13844,0.18,21,-25715705.27,-172.11,-2.7844
13845,0.22,16,-25764491.95,-172.44,-2.6984
13846,0.16,28,-25909270.42,-173.24,-2.7797
13847,0.17,25,-25952411.20,-173.53,-2.8612
13848,0.61,3,-26003982.20,-173.88,-2.6129
13849,0.16,34,-26026802.60,-174.03,-2.8383
13850,0.12,46,-26100711.02,-170.87,-2.7684
13851,0.63,3,-26111471.48,-174.59,-2.6368
13852,0.36,6,-26168283.78,-151.39,-2.5026
13853,1.41,1,-26178037.63,-159.05,-2.3375
13854,1.42,1,-26188998.50,-159.11,-2.3279
13855,0.21,16,-26302916.82,-159.81,-2.9288
13856,0.29,8,-26469990.67,-176.99,-2.7580
13857,0.14,35,-26520247.55,-177.33,-2.7608
13858,0.22,15,-26534082.82,-177.59,-2.8728
13859,0.4,5,-26578982.05,-177.72,-2.4640
13860,0.14,33,-26636773.47,-178.11,-2.7284
13861,0.19,24,-26684123.40,-183.88,-2.7468
13862,0.16,24,-26762103.22,-178.94,-2.7852
13863,0.3,8,-26765564.32,-178.97,-2.9842
13864,0.16,27,-26781368.12,-179.07,-2.7672
13865,0.19,21,-26821905.40,-179.52,-2.7421
13866,0.21,19,-26841730.62,-163.08,-2.8227
13867,0.15,29,-26858615.88,-179.59,-2.7418
13868,0.13,39,-26897499.88,-176.08,-2.7368
13869,0.14,34,-26917278.47,-179.98,-2.8149
13870,0.62,3,-26969733.90,-180.33,-2.6874
13871,0.18,25,-26987294.48,-185.97,-2.8110
13872,0.16,30,-26997352.55,-180.52,-2.8476
13873,0.59,3,-27002500.38,-180.55,-2.6555
13874,0.22,14,-27092458.67,-181.33,-2.8667
13875,0.18,23,-27171981.17,-198.29,-2.8994
13876,0.31,7,-27243528.15,-182.16,-2.8092
13877,0.16,29,-27273556.42,-182.36,-2.7539
13878,0.2,16,-27449365.45,-166.77,-2.9020
13879,0.14,31,-27542351.25,-184.16,-2.6552
13880,0.11,49,-27543552.82,-184.17,-2.6529
13881,0.14,30,-27649097.30,-184.88,-2.7310
13882,0.15,30,-27658664.83,-184.94,-2.7161
13883,0.23,12,-27821936.67,-169.03,-2.7179
13884,0.15,36,-27908330.08,-186.61,-2.9405
13885,0.14,32,-27920507.20,-186.69,-2.7771
13886,0.79,2,-27963750.13,-186.98,-2.6443
13887,0.18,22,-28019090.62,-187.53,-2.8796
13888,0.17,21,-28174560.92,-188.39,-2.8852
13889,0.15,35,-28180510.63,-188.43,-2.9577
13890,0.12,45,-28271425.43,-185.08,-2.7595
13891,0.41,5,-28389794.95,-190.01,-2.5375
13892,0.18,19,-28519020.20,-190.87,-2.9425
13893,0.27,9,-28530138.85,-173.34,-2.7631
13894,0.19,18,-28605359.60,-191.45,-2.9112
13895,0.15,28,-28648389.52,-191.56,-2.8900
13896,0.11,47,-28693304.35,-191.86,-2.6799
13897,1.33,1,-28719438.43,-174.49,-2.4383
13898,1.34,1,-28719438.43,-174.49,-2.4383
13899,0.18,24,-28744534.92,-198.08,-2.9364
13900,0.16,23,-28752161.90,-192.25,-2.9255
13901,0.13,36,-28806079.55,-188.58,-2.8779
13902,0.13,37,-28806079.55,-188.58,-2.8779
13903,0.39,5,-28948481.20,-193.56,-2.5575
13904,1.32,1,-28949934.43,-175.89,-2.4447
13905,0.12,42,-28980920.87,-189.72,-2.6825
13906,0.13,35,-28985875.53,-189.75,-2.8945
13907,0.11,46,-29004138.80,-193.94,-2.6641
13908,0.19,16,-29005947.87,-193.95,-2.9704
13909,0.11,48,-29032211.50,-194.12,-2.7346
13910,0.43,4,-29094454.55,-194.54,-2.5473
13911,0.14,37,-29300825.27,-195.92,-2.8304
13912,0.19,17,-29390897.58,-196.71,-2.7365
13913,1.37,1,-29454540.00,-178.95,-2.5416
13914,0.15,34,-29464848.65,-197.02,-3.0837
13915,0.13,34,-29494957.70,-193.09,-2.9064
13916,0.78,2,-29618231.83,-198.04,-2.7869
13917,0.16,33,-29726911.42,-198.77,-3.1604
13918,0.37,6,-29753238.15,-198.94,-3.0484
13919,0.16,25,-29778700.42,-199.11,-3.0702
13920,0.16,26,-29790742.17,-199.20,-3.0634
13921,0.2,15,-29811828.32,-181.12,-2.8826
13922,0.16,32,-29846569.05,-199.57,-3.1665
13923,1.35,1,-29922426.50,-181.80,-2.5607
13924,1.36,1,-29922426.50,-181.80,-2.5607
13925,1.38,1,-29974455.30,-182.11,-2.5720
13926,0.25,10,-29987974.35,-182.19,-2.7832
13927,0.13,38,-30031304.15,-196.60,-2.9856
13928,0.24,11,-30064202.17,-182.66,-2.7850
13929,0.28,8,-30103984.35,-201.29,-2.9870
13930,0.12,44,-30252687.28,-198.05,-2.8538
13931,0.16,22,-30325075.63,-202.77,-2.9712
13932,0.12,41,-30416564.20,-199.12,-2.8089
13933,0.18,18,-30477152.35,-203.98,-3.0582
13934,0.15,27,-30556003.42,-204.31,-3.0174
13935,0.42,5,-30596912.18,-204.78,-2.5190
13936,0.21,15,-30635209.30,-186.13,-3.0975
13937,0.44,4,-30764116.68,-205.70,-2.6101
13938,0.22,13,-30906393.90,-206.85,-3.1389
13939,0.65,3,-30964240.90,-218.28,-2.9953
13940,0.14,36,-31009261.58,-207.34,-2.9366
13941,0.16,31,-31124987.85,-208.12,-3.2580
13942,0.15,25,-31209376.65,-208.68,-3.0720
13943,0.77,2,-31235111.30,-208.85,-2.8654
13944,0.64,3,-31492182.60,-222.00,-3.0242
13945,0.12,43,-31560044.28,-206.60,-2.9332
13946,0.15,32,-31649813.87,-211.63,-3.1728
13947,0.15,33,-31658870.63,-211.69,-3.2726
13948,0.11,45,-31687095.67,-211.88,-2.8058
13949,0.15,26,-31693953.12,-211.92,-3.0950
13950,0.21,14,-31873315.92,-193.65,-3.0990
13951,0.24,10,-31929940.47,-193.99,-2.9849
13952,0.14,29,-31956394.62,-213.68,-3.0173
13953,0.19,15,-31967212.85,-213.75,-2.8647
13954,0.19,14,-31984870.12,-209.02,-2.7163
13955,1.3,1,-32081890.53,-194.92,-2.9524
13956,1.31,1,-32081890.53,-194.92,-2.9524
13957,0.15,31,-32265675.85,-215.74,-3.2491
13958,0.14,28,-32469975.80,-217.11,-3.0719
13959,0.13,32,-32538354.30,-213.01,-2.9893
13960,1.29,1,-32745483.05,-198.95,-2.9871
13961,0.3,7,-32838561.48,-219.57,-3.3035
13962,0.13,33,-32910665.05,-215.45,-3.1531
13963,0.42,4,-33054973.43,-221.02,-2.8339
13964,0.14,27,-33175963.17,-221.83,-3.0276
13965,0.15,24,-33246005.75,-222.30,-3.0426
13966,0.11,44,-33691481.85,-225.28,-2.9882
13967,0.12,37,-33700500.80,-220.62,-3.0467
13968,1.28,1,-33781009.73,-205.24,-3.0779
13969,0.12,36,-33880296.78,-221.79,-3.0621
13970,1.25,1,-33951721.25,-206.28,-3.0862
13971,0.16,21,-33995501.57,-227.31,-3.1318
13972,0.2,14,-33996307.70,-206.55,-3.0342
13973,0.18,16,-34089278.18,-227.94,-3.1918
13974,0.58,3,-34166169.50,-241.24,-3.3013
13975,1.26,1,-34186250.93,-207.70,-3.1042
13976,1.27,1,-34186250.93,-207.70,-3.1042
13977,0.16,20,-34338065.97,-229.60,-3.1944
13978,0.27,8,-34489375.00,-230.61,-3.4189
13979,0.26,9,-34548021.70,-209.90,-3.3522
13980,0.12,40,-34625997.03,-226.68,-3.1503
13981,0.41,4,-34740498.20,-232.29,-2.9641
13982,0.29,7,-35081272.70,-234.57,-3.3165
13983,0.1,50,-35101839.00,-234.71,-3.0798
13984,0.18,17,-35151168.90,-235.26,-3.3884
13985,0.17,20,-35182321.67,-235.25,-3.3914
13986,0.11,43,-35192858.00,-235.32,-3.0821
13987,0.13,31,-35280582.98,-230.96,-3.2244
13988,0.56,3,-35454981.13,-250.34,-3.4324
13989,0.23,10,-35573108.75,-216.13,-3.2480
13990,0.1,49,-35597563.70,-238.02,-3.0402
13991,0.7,2,-35633336.55,-206.15,-2.7425
